文件路径,识别结果,位置,置信度,用时
PlantsDisease_SIXU_A01017.jpg,苹果锈病叶,"[0, 46, 639, 609]",0.8402537107467651,0.02899956703186035
Camera: 0,玉米叶枯病,"[268, 0, 422, 551]",0.34251055121421814,0.017996788024902344
Camera: 0,玉米叶枯病,"[483, 8, 633, 555]",0.8759211301803589,0.017996788024902344
Camera: 0,玉米叶枯病,"[268, 0, 422, 551]",0.3526000678539276,0.016999244689941406
Camera: 0,玉米叶枯病,"[483, 8, 633, 555]",0.874043881893158,0.016999244689941406
Camera: 0,玉米叶枯病,"[270, 1, 425, 554]",0.3681822717189789,0.02199864387512207
Camera: 0,玉米叶枯病,"[483, 8, 632, 556]",0.8799506425857544,0.02199864387512207
Camera: 0,玉米叶枯病,"[270, 1, 425, 554]",0.36799106001853943,0.022998571395874023
Camera: 0,玉米叶枯病,"[483, 8, 632, 556]",0.8798781633377075,0.022998571395874023
Camera: 0,玉米叶枯病,"[270, 1, 425, 554]",0.3686177432537079,0.017000675201416016
Camera: 0,玉米叶枯病,"[483, 8, 632, 555]",0.8798805475234985,0.017000675201416016
Camera: 0,玉米叶枯病,"[269, 0, 423, 552]",0.27675551176071167,0.01799917221069336
Camera: 0,玉米叶枯病,"[483, 2, 629, 556]",0.8774533271789551,0.01799917221069336
Camera: 0,玉米叶枯病,"[269, 0, 423, 552]",0.2768882215023041,0.01699352264404297
Camera: 0,玉米叶枯病,"[483, 2, 629, 556]",0.8774280548095703,0.01699352264404297
Camera: 0,玉米叶枯病,"[269, 0, 423, 552]",0.2767341434955597,0.08824515342712402
Camera: 0,玉米叶枯病,"[483, 2, 629, 556]",0.877366840839386,0.08824515342712402
Camera: 0,玉米叶枯病,"[269, 0, 423, 552]",0.2793561518192291,0.026522397994995117
Camera: 0,玉米叶枯病,"[483, 2, 629, 556]",0.8780245780944824,0.026522397994995117
Camera: 0,玉米叶枯病,"[269, 0, 423, 552]",0.27808091044425964,0.023999929428100586
Camera: 0,玉米叶枯病,"[482, 2, 626, 555]",0.8773578405380249,0.023999929428100586
Camera: 0,玉米叶枯病,"[267, 0, 430, 550]",0.3832262456417084,0.01999950408935547
Camera: 0,玉米叶枯病,"[483, 0, 633, 552]",0.8593729734420776,0.01999950408935547
