                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2502,                 4.0495,                  1.533,                0.28859,                0.14955,                 0.0932,                0.05761,                  1.235,                 3.2178,                 1.6072,             0.00010064,             0.00010064,             0.00010064
                      2,                 1.2509,                 3.2418,                 1.5204,                0.25596,                0.30532,                0.19061,                 0.1219,                 1.2721,                 2.7527,                 1.6376,             0.00019997,             0.00019997,             0.00019997
                      3,                  1.238,                 2.8674,                 1.4883,                0.23706,                 0.3573,                0.26638,                0.17031,                 1.2742,                 2.4742,                 1.5722,             0.00029764,             0.00029764,             0.00029764
                      4,                 1.2187,                 2.6396,                 1.4644,                0.29965,                0.41198,                0.28559,                0.18374,                 1.2635,                 2.5124,                 1.5461,              0.0002955,              0.0002955,              0.0002955
                      5,                 1.2127,                 2.4897,                 1.4529,                0.33797,                0.40718,                0.33723,                0.21749,                 1.2467,                 2.1961,                 1.5245,              0.0002955,              0.0002955,              0.0002955
                      6,                 1.1817,                 2.3274,                 1.4229,                0.32777,                0.45466,                0.35986,                0.23633,                 1.2363,                 2.0379,                 1.4987,               0.000293,               0.000293,               0.000293
                      7,                 1.1684,                 2.2133,                 1.4046,                0.42726,                0.43002,                0.39746,                0.26399,                 1.2073,                 2.0278,                 1.4956,              0.0002905,              0.0002905,              0.0002905
                      8,                   1.16,                 2.1299,                  1.394,                0.42094,                0.46996,                0.41926,                0.28143,                 1.2103,                 1.9414,                 1.4713,               0.000288,               0.000288,               0.000288
                      9,                 1.1463,                  2.029,                 1.3835,                    0.5,                0.45439,                0.43433,                 0.2967,                  1.196,                 1.8816,                 1.4601,              0.0002855,              0.0002855,              0.0002855
                     10,                 1.1324,                 1.9627,                 1.3696,                0.47187,                0.47868,                0.42087,                0.28526,                 1.1955,                  1.921,                  1.443,               0.000283,               0.000283,               0.000283
                     11,                 1.1242,                 1.8999,                 1.3641,                0.46845,                 0.5252,                0.47545,                0.31592,                 1.1922,                 1.7184,                 1.4382,              0.0002805,              0.0002805,              0.0002805
                     12,                 1.1207,                 1.8526,                 1.3586,                0.52908,                0.45602,                0.46063,                0.31246,                 1.2106,                 1.8143,                 1.4487,               0.000278,               0.000278,               0.000278
                     13,                 1.1117,                 1.8225,                 1.3583,                0.47296,                0.54978,                0.48101,                0.32753,                 1.1809,                 1.7314,                 1.4231,              0.0002755,              0.0002755,              0.0002755
                     14,                 1.1143,                 1.7788,                 1.3508,                0.50507,                0.53534,                0.50373,                0.34431,                 1.1882,                 1.7046,                 1.4354,               0.000273,               0.000273,               0.000273
                     15,                 1.0986,                 1.7175,                 1.3391,                0.55634,                0.51511,                0.50158,                0.34122,                 1.1753,                 1.6413,                 1.4199,              0.0002705,              0.0002705,              0.0002705
                     16,                 1.0829,                  1.651,                 1.3278,                 0.5401,                0.50314,                0.49592,                0.33284,                  1.202,                  1.694,                 1.4572,               0.000268,               0.000268,               0.000268
                     17,                 1.1002,                 1.6565,                 1.3303,                0.51903,                0.51228,                0.52055,                0.35654,                  1.204,                 1.6375,                 1.4403,              0.0002655,              0.0002655,              0.0002655
                     18,                  1.078,                 1.6078,                  1.331,                0.48891,                0.53735,                0.51137,                0.35464,                 1.1648,                 1.7068,                 1.3929,               0.000263,               0.000263,               0.000263
                     19,                 1.0818,                 1.5577,                 1.3198,                0.53832,                0.52086,                0.53353,                0.37503,                 1.1398,                 1.5992,                 1.3647,              0.0002605,              0.0002605,              0.0002605
                     20,                 1.0607,                 1.5455,                 1.3101,                0.51508,                 0.5272,                0.51335,                 0.3561,                 1.1637,                 1.6429,                 1.3974,               0.000258,               0.000258,               0.000258
                     21,                 1.0761,                 1.5225,                 1.3145,                 0.5411,                0.51501,                0.51033,                 0.3475,                 1.1788,                 1.6687,                 1.3965,              0.0002555,              0.0002555,              0.0002555
                     22,                 1.0577,                  1.475,                  1.304,                0.54129,                 0.5655,                0.53528,                0.36686,                 1.1573,                 1.5444,                 1.3859,               0.000253,               0.000253,               0.000253
                     23,                 1.0586,                  1.476,                 1.3015,                 0.5413,                0.60786,                0.56923,                0.40172,                 1.1326,                  1.478,                 1.3745,             0.00025051,             0.00025051,             0.00025051
                     24,                 1.0414,                 1.4432,                 1.2957,                0.52123,                0.57245,                0.53002,                0.37802,                 1.1437,                 1.5646,                 1.3745,             0.00024801,             0.00024801,             0.00024801
                     25,                 1.0485,                 1.4287,                 1.3006,                 0.5294,                0.57293,                0.55279,                0.38229,                 1.1509,                  1.503,                 1.3705,             0.00024551,             0.00024551,             0.00024551
                     26,                 1.0402,                 1.3827,                 1.2908,                 0.5438,                0.56735,                0.55703,                0.38675,                 1.1454,                 1.4572,                 1.3782,             0.00024301,             0.00024301,             0.00024301
                     27,                 1.0381,                 1.3702,                 1.2839,                0.52503,                0.60115,                0.58127,                0.40859,                 1.1454,                 1.4512,                 1.3795,             0.00024051,             0.00024051,             0.00024051
                     28,                 1.0391,                 1.3633,                 1.2867,                0.56314,                0.57039,                0.56247,                0.39513,                 1.1426,                 1.4681,                 1.3665,             0.00023801,             0.00023801,             0.00023801
                     29,                 1.0136,                 1.3141,                 1.2765,                0.56761,                0.54024,                0.54459,                0.37918,                 1.1379,                 1.4908,                 1.3623,             0.00023551,             0.00023551,             0.00023551
                     30,                 1.0314,                 1.3149,                 1.2802,                0.60276,                 0.5697,                0.57483,                0.40419,                 1.1409,                 1.4763,                 1.3697,             0.00023301,             0.00023301,             0.00023301
                     31,                  1.014,                 1.2805,                 1.2705,                0.59283,                 0.5776,                0.58388,                0.41347,                 1.1367,                 1.4169,                 1.3714,             0.00023051,             0.00023051,             0.00023051
                     32,                 1.0083,                 1.2815,                  1.267,                0.56096,                0.56157,                0.57476,                0.40443,                 1.1255,                 1.4641,                 1.3528,             0.00022801,             0.00022801,             0.00022801
                     33,                 1.0039,                 1.2634,                 1.2678,                0.58726,                0.55853,                0.58873,                0.40984,                 1.1497,                 1.4185,                 1.3767,             0.00022551,             0.00022551,             0.00022551
                     34,                 1.0038,                 1.2481,                 1.2646,                0.55599,                 0.5905,                0.56126,                0.39819,                 1.1198,                 1.5043,                 1.3521,             0.00022301,             0.00022301,             0.00022301
                     35,                0.99261,                  1.217,                 1.2633,                0.57894,                0.53709,                0.55707,                0.39296,                 1.1459,                 1.4716,                 1.3736,             0.00022051,             0.00022051,             0.00022051
                     36,                0.99318,                 1.2192,                 1.2563,                0.59241,                0.52009,                0.56944,                0.40468,                 1.1241,                 1.4779,                 1.3585,             0.00021801,             0.00021801,             0.00021801
                     37,                0.99381,                 1.2025,                  1.254,                0.61571,                0.57678,                0.58775,                0.41642,                  1.124,                 1.3986,                 1.3535,             0.00021551,             0.00021551,             0.00021551
                     38,                 0.9932,                 1.2104,                 1.2578,                 0.5525,                0.59994,                0.58706,                0.42421,                 1.0947,                 1.3894,                 1.3361,             0.00021301,             0.00021301,             0.00021301
                     39,                0.98113,                 1.1861,                 1.2522,                0.61536,                0.53211,                0.57242,                0.41055,                 1.1077,                 1.4076,                 1.3489,             0.00021051,             0.00021051,             0.00021051
                     40,                0.97752,                 1.1757,                 1.2518,                0.53943,                0.60929,                0.59285,                0.42468,                 1.0951,                 1.3271,                 1.3253,             0.00020801,             0.00020801,             0.00020801
                     41,                0.98004,                 1.1585,                 1.2476,                0.63368,                0.55989,                0.58174,                0.41477,                 1.1057,                 1.4037,                 1.3361,             0.00020551,             0.00020551,             0.00020551
                     42,                0.97409,                 1.1349,                  1.238,                0.59161,                 0.5787,                0.58457,                0.41537,                 1.1044,                 1.3709,                 1.3441,             0.00020301,             0.00020301,             0.00020301
                     43,                0.96778,                 1.1317,                 1.2397,                0.59453,                0.60353,                0.59276,                0.42072,                 1.1141,                 1.3644,                 1.3484,             0.00020051,             0.00020051,             0.00020051
                     44,                0.97675,                 1.1365,                 1.2442,                 0.5766,                0.61156,                0.59054,                0.42017,                 1.1062,                 1.3895,                 1.3367,             0.00019801,             0.00019801,             0.00019801
                     45,                0.96291,                 1.1135,                 1.2304,                0.57466,                 0.6232,                0.60407,                0.43486,                 1.0938,                 1.3209,                 1.3346,             0.00019551,             0.00019551,             0.00019551
                     46,                0.93947,                  1.086,                  1.225,                0.58422,                 0.5926,                0.59987,                0.43285,                 1.0862,                 1.3445,                   1.34,             0.00019301,             0.00019301,             0.00019301
                     47,                0.95425,                 1.0909,                  1.232,                0.61199,                0.59612,                0.59186,                0.42622,                  1.095,                 1.3575,                 1.3345,             0.00019051,             0.00019051,             0.00019051
                     48,                0.94991,                 1.0853,                 1.2301,                0.70314,                0.56132,                0.61086,                0.43706,                 1.0902,                 1.3135,                 1.3315,             0.00018801,             0.00018801,             0.00018801
                     49,                0.95161,                 1.0653,                 1.2284,                0.61226,                0.59189,                0.60147,                0.43197,                 1.0969,                 1.3448,                 1.3288,             0.00018551,             0.00018551,             0.00018551
                     50,                 0.9403,                  1.066,                   1.22,                0.60981,                0.59075,                0.59928,                0.43116,                 1.0859,                 1.2954,                 1.3197,             0.00018301,             0.00018301,             0.00018301
                     51,                 0.9402,                 1.0523,                 1.2206,                0.65527,                0.54776,                0.58714,                0.42624,                 1.0885,                  1.388,                 1.3321,             0.00018051,             0.00018051,             0.00018051
                     52,                0.93078,                 1.0182,                 1.2128,                0.61045,                0.59318,                0.59588,                0.42782,                 1.0941,                 1.3271,                 1.3342,             0.00017801,             0.00017801,             0.00017801
                     53,                0.92622,                 1.0281,                 1.2089,                0.59772,                0.57914,                0.58192,                0.42369,                 1.0932,                  1.367,                 1.3387,             0.00017551,             0.00017551,             0.00017551
                     54,                0.93217,                 1.0142,                 1.2107,                0.66024,                0.55837,                0.60133,                0.43727,                 1.0903,                 1.3042,                 1.3258,             0.00017301,             0.00017301,             0.00017301
                     55,                0.91985,                 1.0158,                 1.2098,                0.60881,                0.57373,                0.59578,                0.43206,                 1.0839,                 1.3501,                 1.3213,             0.00017051,             0.00017051,             0.00017051
                     56,                  0.927,                 1.0242,                 1.2099,                0.61616,                0.58316,                0.59879,                0.43241,                  1.084,                 1.3468,                 1.3292,             0.00016801,             0.00016801,             0.00016801
                     57,                0.92537,                 0.9994,                 1.2086,                0.62846,                0.58909,                0.58951,                0.42985,                 1.0891,                 1.3368,                 1.3273,             0.00016551,             0.00016551,             0.00016551
                     58,                0.91937,                 1.0014,                 1.2078,                0.67589,                0.56535,                0.59471,                0.43597,                 1.0791,                 1.3299,                 1.3173,             0.00016301,             0.00016301,             0.00016301
                     59,                0.91174,                0.98934,                 1.2001,                0.67848,                0.56129,                0.61506,                0.44693,                 1.0846,                 1.2917,                 1.3274,             0.00016051,             0.00016051,             0.00016051
                     60,                0.91058,                0.97562,                  1.197,                0.66557,                0.56131,                0.60331,                0.43971,                 1.0802,                  1.295,                 1.3158,             0.00015801,             0.00015801,             0.00015801
                     61,                0.90556,                0.97097,                 1.2001,                0.64274,                0.59383,                0.60903,                 0.4432,                 1.0782,                 1.2624,                 1.3198,             0.00015551,             0.00015551,             0.00015551
                     62,                0.89894,                0.96169,                 1.1955,                0.67847,                0.58758,                0.62762,                0.45506,                  1.061,                 1.2477,                 1.3006,             0.00015301,             0.00015301,             0.00015301
                     63,                0.89294,                0.95181,                 1.1883,                0.64009,                0.59368,                0.60337,                0.44349,                 1.0718,                 1.2901,                 1.3089,             0.00015052,             0.00015052,             0.00015052
                     64,                0.90129,                0.95128,                 1.1913,                0.65915,                0.57987,                0.60667,                0.44069,                 1.0747,                 1.2947,                 1.3126,             0.00014802,             0.00014802,             0.00014802
                     65,                0.90055,                0.94612,                  1.193,                0.64964,                0.59586,                0.61371,                0.44659,                 1.0746,                 1.2791,                 1.3089,             0.00014552,             0.00014552,             0.00014552
                     66,                0.88928,                0.93324,                  1.188,                0.66635,                0.55744,                 0.5985,                0.43655,                 1.0683,                 1.3162,                 1.3094,             0.00014302,             0.00014302,             0.00014302
                     67,                0.89447,                0.93659,                 1.1873,                0.59687,                0.63819,                0.61669,                0.44955,                 1.0643,                 1.2627,                 1.3069,             0.00014052,             0.00014052,             0.00014052
                     68,                0.88314,                0.93338,                 1.1822,                0.62121,                0.60722,                0.61063,                0.44536,                 1.0636,                 1.2678,                 1.3007,             0.00013802,             0.00013802,             0.00013802
                     69,                0.88677,                0.92544,                 1.1871,                0.65972,                0.57909,                 0.6157,                0.44716,                 1.0661,                 1.2572,                 1.3073,             0.00013552,             0.00013552,             0.00013552
